GeneID	nReads	ftype
ARL5A	1344	inex
ARL5B	322	inex
ARL5C	104	inex
ARL6	349	inex
ARL6IP1	4620	inex
ARL6IP4	2196	inex
ARL6IP5	6923	inex
ARL6IP6	30	inex
ARL8A	2661	inex
ARL8B	2319	inex
ARL9	239	inex
ARMC1	752	inex
ARMC10	32	inex
ARMC2	585	inex
ARMC3	590	inex
ARMC5	54	inex
ARMC6	882	inex
ARMC7	28	inex
ARMC8	1372	inex
ARMC9	62	inex
ARMH1	171	inex
ARMH2	39	inex
ARMH3	1514	inex
ARMH4	1339	inex
ARMT1	33	inex
ARNT	84	inex
ARNT2	1212	inex
ARNTL	740	inex
ARNTL2	309	inex
ARPC1A	1866	inex
ARPC1B	308	inex
ARPC2	2126	inex
ARPC3	2027	inex
ARPC4	290	inex
ARPC5	1533	inex
ARPC5L	564	inex
ARPP19	1294	inex
ARPP21	6941	inex
ARR3	2	inex
ARRB1	689	inex
ARRB2	547	inex
ARRDC1	104	inex
ARRDC2	119	inex
ARRDC3	1299	inex
ARRDC4	93	inex
ARRDC5	4	inex
ARSA	19	inex
ARSB	398	inex
ARSG	1481	inex
ARSI	35	inex
ARSJ	450	inex
ARSK	130	inex
ARTN	102	inex
ARV1	266	inex
ARVCF	774	inex
ARX	2	inex
ASAH1	985	inex
ASAH2	92	inex
ASAP1	6036	inex
ASAP2	1637	inex
ASAP3	513	inex
ASB10	10	inex
ASB12	15	inex
ASB13	546	inex
ASB14	65	inex
ASB15	35	inex
ASB16	19	inex
ASB2	99	inex
ASB3	965	inex
ASB4	82	inex
ASB5	1298	inex
ASB6	185	inex
ASB7	227	inex
ASB8	268	inex
ASB9	48	inex
ASCC1	654	inex
ASCC2	260	inex
ASCC3	1211	inex
ASCL1	110	inex
ASCL2	1	inex
ASDURF	112	inex
ASF1A	167	inex
ASF1B	18	inex
ASGR1	26	inex
ASH1L	653	inex
ASH2L	361	inex
ASIC1	948	inex
ASIC4	1922	inex
ASIC5	347	inex
ASL	365	inex
ASMTL	705	inex
ASNS	191	inex
ASNSD1	11	inex
ASPA	51	inex
ASPDH	24	inex
ASPG	111	inex
ASPH	1960	inex
ASPHD1	332	inex
ASPHD2	25	inex
ASPM	204	inex
ASPSCR1	1593	inex
ASRGL1	30	inex
ASS1	621	inex
ASTE1	673	inex
ASTN1	1908	inex
ASTN2	1336	inex
ASXL1	265	inex
ASXL2	490	inex
ASXL3	1074	inex
ASZ1	44	inex
ATAD1	902	inex
ATAD2	160	inex
ATAD2B	1916	inex
ATAD5	378	inex
ATAT1	335	inex
ATCAY	1020	inex
ATE1	1138	inex
ATF1	157	inex
ATF2	1761	inex
ATF3	2015	inex
ATF4	1806	inex
ATF5	496	inex
ATF6	1816	inex
ATF6B	154	inex
ATF7IP2	46	inex
ATG10	2390	inex
ATG101	492	inex
ATG12	632	inex
ATG13	2291	inex
ATG14	367	inex
ATG16L1	979	inex
ATG16L2	88	inex
ATG2A	533	inex
ATG2B	1638	inex
ATG3	551	inex
ATG4A	537	inex
ATG4B	486	inex
ATG4C	676	inex
ATG4D	920	inex
ATG5	781	inex
ATG7	1052	inex
ATG9A	511	inex
ATIC	2186	inex
ATL1	1267	inex
ATL2	752	inex
ATL3	338	inex
ATM	252	inex
ATMIN	776	inex
ATN1	2532	inex
ATOH8	183	inex
ATOX1	1198	inex
ATP10A	235	inex
ATP10B	236	inex
ATP10D	117	inex
ATP11A	1968	inex
ATP11B	2283	inex
ATP11C	710	inex
ATP12A	46	inex
ATP13A1	389	inex
ATP13A2	66	inex
ATP13A3	439	inex
ATP1A1	728	inex
ATP1A3	24703	inex
ATP1B1	8209	inex
ATP1B2	21845	inex
ATP1B3	1669	inex
ATP1B4	64	inex
ATP23	716	inex
ATP2A1	28	inex
ATP2A2	7123	inex
ATP2A3	2328	inex
ATP2B1	2606	inex
ATP2B2	12899	inex
ATP2B3	8298	inex
ATP2B4	13509	inex
ATP2C1	1604	inex
ATP2C2	148	inex
ATP4A	1407	inex
ATP4B	120	inex
ATP5F1A	4705	inex
ATP5F1B	9657	inex
ATP5F1C	3316	inex
ATP5F1D	3835	inex
ATP5F1E	6684	inex
ATP5IF1	2110	inex
ATP5MC1	2828	inex
ATP5MC2	5394	inex
ATP5MC3	15778	inex
ATP5ME	11118	inex
ATP5MF	12790	inex
ATP5MG	10908	inex
ATP5MK	3170	inex
ATP5PB	3481	inex
ATP5PD	6157	inex
ATP5PF	6867	inex
ATP5PO	10422	inex
ATP6AP1	4363	inex
ATP6AP1L	358	inex
ATP6AP2	4521	inex
ATP6V0A1	10008	inex
ATP6V0A2	639	inex
ATP6V0A4	82	inex
ATP6V0B	2550	inex
ATP6V0C	12732	inex
ATP6V0D1	2624	inex
ATP6V0D2	47	inex
ATP6V0E1	982	inex
ATP6V1A	7041	inex
ATP6V1B1	66	inex
ATP6V1B2	5463	inex
ATP6V1C1	3274	inex
ATP6V1C2	346	inex
ATP6V1D	4635	inex
ATP6V1E1	8929	inex
ATP6V1F	389	inex
ATP6V1FNB	1	inex
ATP6V1G1	1741	inex
ATP6V1G2	431	inex
ATP6V1G3	73	inex
ATP6V1H	4715	inex
ATP7A	194	inex
ATP8A1	13377	inex
ATP8A2	6856	inex
ATP8B1	49	inex
ATP8B2	506	inex
ATP8B3	50	inex
ATP9A	3321	inex
ATP9B	2529	inex
ATPAF1	2244	inex
ATPAF2	281	inex
ATPSCKMT	276	inex
ATR	345	inex
ATRAID	489	inex
ATRN	1197	inex
ATRNL1	6301	inex
ATRX	8841	inex
ATXN1	3927	inex
ATXN10	686	inex
ATXN1L	408	inex
ATXN2	689	inex
ATXN2L	310	inex
ATXN3	736	inex
ATXN7	2128	inex
ATXN7L1	330	inex
ATXN7L2	142	inex
ATXN7L3	5238	inex
AUH	250	inex
AUP1	139	inex
AURKA	33	inex
AURKAIP1	378	inex
AURKB	30	inex
AUTS2	1240	inex
AVEN	1406	inex
AVL9	829	inex
AVPI1	818	inex
AVPR1A	41	inex
AVPR1B	24	inex
AVPR2	10	inex
AXDND1	301	inex
AXIN1	154	inex
AXIN2	519	inex
AXL	29	inex
AZI2	419	inex
AZIN1	2203	inex
AZIN2	47	inex
B2M	1215	inex
B3GALNT2	360	inex
B3GALT1	3079	inex
B3GALT2	99	inex
B3GALT6	351	inex
B3GALT9	83	inex
B3GAT1	1107	inex
B3GAT2	921	inex
B3GAT3	238	inex
B3GLCT	497	inex
B3GNT2	931	inex
B3GNT3	3	inex
B3GNT5	92	inex
B3GNT7	89	inex
B3GNT8	373	inex
B3GNT9	20	inex
B3GNTL1	1258	inex
B4GALNT1	1635	inex
B4GALNT2	162	inex
B4GALNT3	12	inex
B4GALNT4	1025	inex
B4GALT1	239	inex
B4GALT2	478	inex
B4GALT3	24	inex
B4GALT4	136	inex
B4GALT5	2035	inex
B4GALT6	1607	inex
B4GALT7	18	inex
B4GAT1	112	inex
B9D1	250	inex
B9D2	32	inex
BAALC	1051	inex
BABAM1	306	inex
BABAM2	1525	inex
BACE1	888	inex
BACE2	391	inex
BACH1	869	inex
BACH2	3296	inex
BAD	144	inex
BAG1	4203	inex
BAG2	619	inex
BAG3	3342	inex
BAG4	528	inex
BAG5	1857	inex
BAG6	835	inex
BAHCC1	1821	inex
BAHD1	868	inex
BAIAP2	2984	inex
BAIAP2L1	68	inex
BAIAP2L2	11	inex
BAK1	506	inex
BAMBI	192	inex
BANF1	760	inex
BANK1	144	inex
BAP1	449	inex
BARD1	8	inex
BARHL1	30	inex
BARHL2	4	inex
BARX2	23	inex
BASP1	7197	inex
BATF	23	inex
BATF3	100	inex
BAZ1A	1031	inex
BAZ1B	854	inex
BAZ2A	2013	inex
BAZ2B	4808	inex
BBLN	48	inex
BBOF1	526	inex
BBOX1	67	inex
BBS1	134	inex
BBS10	131	inex
BBS12	115	inex
BBS2	89	inex
BBS4	298	inex
BBS5	490	inex
BBS7	515	inex
BBS9	3489	inex
BBX	2065	inex
BCAM	37	inex
BCAN	227	inex
BCAP31	3176	inex
BCAR1	759	inex
BCAR3	1547	inex
BCAS1	2882	inex
BCAS2	805	inex
BCAS3	1111	inex
BCAS4	1935	inex
BCAT1	222	inex
BCAT2	730	inex
BCDIN3D	96	inex
BCHE	282	inex
BCKDHA	55	inex
BCKDHB	2041	inex
BCKDK	771	inex
BCL10	133	inex
BCL11A	464	inex
BCL11B	2219	inex
BCL2	1665	inex
BCL2A1	31	inex
BCL2L1	539	inex
BCL2L10	2653	inex
BCL2L11	83	inex
BCL2L12	20	inex
BCL2L13	881	inex
BCL2L14	3	inex
BCL2L15	117	inex
BCL3	24	inex
BCL6	2115	inex
BCL7A	822	inex
BCL7B	608	inex
BCL7C	174	inex
BCL9	877	inex
BCL9L	365	inex
BCLAF1	2495	inex
BCLAF3	998	inex
BCO2	667	inex
BCOR	1741	inex
BCORL1	219	inex
BCR	1423	inex
BDH1	506	inex
BDH2	80	inex
BDKRB2	64	inex
BDNF	758	inex
BDP1	2677	inex
BECN1	650	inex
BEGAIN	2106	inex
BEND3	325	inex
BEND4	280	inex
BEND5	184	inex
BEND7	115	inex
BEST1	212	inex
BEST2	155	inex
BEST3	163	inex
BEST4	2	inex
BET1	158	inex
BET1L	405	inex
BFAR	232	inex
BFSP1	51	inex
BFSP2	41	inex
BGN	70	inex
BHLHA15	81	inex
BHLHE23	13	inex
BHLHE40	1420	inex
BHLHE41	233	inex
BICC1	586	inex
BICD1	1944	inex
BICD2	2044	inex
BICDL1	104	inex
BICDL2	10	inex
BICRA	383	inex
BICRAL	2847	inex
BID	573	inex
BIN1	4295	inex
BIN2	186	inex
BIN3	1104	inex
BIRC5	138	inex
BIRC6	3423	inex
BIRC7	73	inex
BIVM	351	inex
BLM	378	inex
BLNK	329	inex
BLOC1S1	1614	inex
BLOC1S2	1529	inex
BLOC1S3	127	inex
BLOC1S5	666	inex
BLOC1S6	496	inex
BLVRA	853	inex
BLVRB	35	inex
BLZF1	185	inex
BMERB1	1569	inex
BMF	272	inex
BMI1	363	inex
BMP1	421	inex
BMP10	51	inex
BMP15	26	inex
BMP2	60	inex
BMP2K	1850	inex
BMP3	58	inex
BMP5	35	inex
BMP6	287	inex
BMP7	334	inex
BMP8A	79	inex
BMPER	1302	inex
BMPR1A	498	inex
BMPR1B	738	inex
BMPR2	1101	inex
BMS1	303	inex
BMT2	1242	inex
BNC1	1	inex
BNC2	119	inex
BNIP1	303	inex
BNIP2	254	inex
BNIP3	1640	inex
BNIP3L	1970	inex
BNIPL	10	inex
BOC	106	inex
BOD1	301	inex
BOD1L1	7756	inex
BOK	300	inex
BOLA1	541	inex
BOLA2B	1780	inex
BOLA3	292	inex
BOLL	35	inex
BOP1	188	inex
BORA	72	inex
BORCS5	369	inex
BORCS6	271	inex
BORCS7	843	inex
BPGM	667	inex
BPHL	2019	inex
BPIFC	10	inex
BPNT1	409	inex
BPNT2	780	inex
BPTF	2407	inex
BRAF	1386	inex
BRAT1	67	inex
BRCA1	476	inex
BRCA2	427	inex
BRCC3	699	inex
BRD1	2052	inex
BRD2	507	inex
BRD3	457	inex
BRD4	4065	inex
BRD7	1535	inex
BRD8	541	inex
BRD9	1861	inex
BRDT	24	inex
BRF1	1885	inex
BRF2	122	inex
BRI3	577	inex
BRICD5	14	inex
BRINP1	1537	inex
BRINP2	399	inex
BRINP3	1477	inex
BRIP1	229	inex
BRIX1	393	inex
BRK1	115	inex
BRME1	139	inex
BRMS1	199	inex
BRMS1L	969	inex
BROX	1185	inex
BRPF1	81	inex
BRPF3	428	inex
BRSK1	1497	inex
BRSK2	4028	inex
BRWD1	2276	inex
BRWD3	436	inex
BSCL2	362	inex
BSDC1	103	inex
BSG	2198	inex
BSN	1982	inex
BSND	2	inex
BTAF1	1047	inex
BTBD1	1782	inex
BTBD10	1095	inex
BTBD11	1486	inex
BTBD16	20	inex
BTBD17	31	inex
BTBD18	74	inex
BTBD19	202	inex
BTBD2	471	inex
BTBD3	2540	inex
BTBD6	1329	inex
BTBD7	588	inex
BTBD8	2393	inex
BTBD9	1757	inex
BTC	50	inex
BTD	300	inex
BTF3	3472	inex
BTF3L4	1915	inex
BTG1	1716	inex
BTG2	2435	inex
BTG4	10	inex
BTK	80	inex
BTLA	36	inex
BTRC	3417	inex
BUB1	75	inex
BUB1B	57	inex
BUB3	369	inex
BUD13	159	inex
BUD23	512	inex
BUD31	1336	inex
BVES	212	inex
BYSL	359	inex
BZW1	2381	inex
BZW2	542	inex
C1D	541	inex
C1GALT1	1082	inex
C1GALT1C1	40	inex
C1QA	127	inex
C1QB	28	inex
C1QC	197	inex
C1QL1	462	inex
C1QL2	63	inex
C1QL3	163	inex
C1QL4	40	inex
C1QTNF1	143	inex
C1QTNF12	166	inex
C1QTNF2	6	inex
C1QTNF3	25	inex
C1QTNF4	1982	inex
C1QTNF5	9	inex
C1QTNF6	52	inex
C1QTNF7	579	inex
C1R	1	inex
C1S	27	inex
C2CD2	3527	inex
C2CD2L	308	inex
C2CD3	235	inex
C2CD4C	142	inex
C2CD5	2476	inex
C2CD6	785	inex
C3	79	inex
C5	49	inex
C6	10	inex
C7	13	inex
C8A	108	inex
C8B	21	inex
C9	17	inex
C9orf72	1785	inex
CA10	1441	inex
CA11	90	inex
CA12	529	inex
CA13	19	inex
CA14	57	inex
CA2	683	inex
CA4	181	inex
CA5A	361	inex
CA6	438	inex
CA7	3	inex
CA8	20	inex
CAAP1	899	inex
CAB39	3501	inex
CABCOCO1	193	inex
CABIN1	551	inex
CABLES1	820	inex
CABLES2	578	inex
CABP1	2098	inex
CABP4	81	inex
CABP7	795	inex
CABYR	437	inex
CACHD1	240	inex
CACNA1A	6012	inex
CACNA1B	670	inex
CACNA1C	7021	inex
CACNA1D	8068	inex
CACNA1E	2795	inex
CACNA1F	68	inex
CACNA1H	889	inex
CACNA1I	1561	inex
CACNA1S	27	inex
CACNA2D1	4050	inex
CACNA2D2	6768	inex
CACNA2D3	1093	inex
CACNA2D4	184	inex
CACNB1	3028	inex
CACNB2	3398	inex
CACNB3	212	inex
CACNB4	1960	inex
CACNG1	32	inex
CACNG2	1416	inex
CACNG3	1434	inex
CACNG4	32	inex
CACNG5	406	inex
CACNG6	296	inex
CACNG7	3138	inex
CACNG8	730	inex
CACTIN	236	inex
CACUL1	883	inex
CAD	333	inex
CADM1	6859	inex
CADM2	8215	inex
CADM3	24108	inex
CADM4	320	inex
CADPS	22681	inex
CADPS2	2281	inex
CALB1	11	inex
CALCB	2202	inex
CALCOCO1	660	inex
CALCOCO2	606	inex
CALCRL	649	inex
CALD1	591	inex
CALHM2	26	inex
CALHM3	10	inex
CALHM6	24	inex
CALM1	64608	inex
CALM2	48614	inex
CALM3	16730	inex
CALML4	34	inex
CALML5	6	inex
CALML6	27	inex
CALN1	4061	inex
CALR	5438	inex
CALR3	113	inex
CALU	114	inex
CAMK1	572	inex
CAMK1D	2509	inex
CAMK1G	374	inex
CAMK2A	1038	inex
CAMK2B	9401	inex
CAMK2D	10885	inex
CAMK2G	8291	inex
CAMK2N1	188	inex
CAMK2N2	12347	inex
CAMK4	2173	inex
CAMKK1	5203	inex
CAMKK2	351	inex
CAMKV	102	inex
CAMLG	833	inex
CAMSAP1	973	inex
CAMSAP2	3607	inex
CAMSAP3	754	inex
CAMTA1	16156	inex
CAMTA2	145	inex
CAND1	1361	inex
CANT1	55	inex
CANX	9375	inex
CAP1	1754	inex
CAP2	2222	inex
CAPG	255	inex
CAPN1	245	inex
CAPN10	385	inex
CAPN11	7080	inex
CAPN13	62	inex
CAPN14	23	inex
CAPN15	439	inex
CAPN2	824	inex
CAPN3	23	inex
CAPN5	415	inex
CAPN7	491	inex
CAPN9	40	inex
CAPNS1	1148	inex
CAPNS2	26	inex
CAPRIN1	2759	inex
CAPRIN2	726	inex
CAPS	130	inex
CAPS2	173	inex
CAPSL	15	inex
CAPZA1	1923	inex
CAPZA2	2630	inex
CAPZB	1497	inex
CARD10	31	inex
CARD11	67	inex
CARD14	56	inex
CARD19	129	inex
CARD9	131	inex
CARHSP1	70	inex
CARM1	2258	inex
CARMIL1	2028	inex
CARMIL2	532	inex
CARMIL3	271	inex
CARNMT1	242	inex
CARNS1	1457	inex
CARS1	1912	inex
CARS2	1284	inex
CARTPT	55	inex
CASC3	1591	inex
CASD1	2967	inex
CASK	3438	inex
CASKIN1	1052	inex
CASKIN2	388	inex
CASP10	343	inex
CASP2	207	inex
CASP3	127	inex
CASP6	15	inex
CASP7	47	inex
CASP8AP2	1399	inex
CASP9	173	inex
CASQ1	21	inex
CASS4	171	inex
CAST	3796	inex
CASTOR1	112	inex
CASZ1	516	inex
CATSPER1	18	inex
CATSPER3	33	inex
CATSPER4	52	inex
CATSPERB	28	inex
CATSPERD	39	inex
CATSPERE	64	inex
CATSPERG	94	inex
CAV1	155	inex
CAV2	109	inex
CAVIN1	427	inex
CAVIN2	503	inex
CAVIN4	32	inex
CBFA2T2	704	inex
CBFA2T3	106	inex
CBFB	271	inex
CBL	269	inex
CBLB	1382	inex
CBLC	1	inex
CBLL1	172	inex
CBLN1	243	inex
CBLN2	742	inex
CBLN4	359	inex
CBR4	484	inex
CBX1	1036	inex
CBX2	275	inex
CBX3	1682	inex
CBX4	768	inex
CBX5	4829	inex
CBX6	7851	inex
CBX7	3268	inex
CBX8	103	inex
CBY1	338	inex
CBY3	3	inex
CC2D1A	913	inex
CC2D1B	647	inex
CC2D2A	4180	inex
CC2D2B	112	inex
CCAR1	951	inex
CCAR2	957	inex
CCBE1	151	inex
CCDC102A	66	inex
CCDC103	18	inex
CCDC105	10	inex
CCDC106	520	inex
CCDC107	941	inex
CCDC110	349	inex
CCDC112	247	inex
CCDC113	314	inex
CCDC115	102	inex
CCDC116	59	inex
CCDC117	117	inex
CCDC12	807	inex
CCDC120	305	inex
CCDC122	3	inex
CCDC124	297	inex
CCDC125	66	inex
CCDC126	1084	inex
CCDC127	918	inex
CCDC13	26	inex
CCDC130	490	inex
CCDC134	412	inex
CCDC136	425	inex
CCDC137	341	inex
CCDC138	351	inex
CCDC14	86	inex
CCDC141	385	inex
CCDC142	29	inex
CCDC146	963	inex
CCDC148	809	inex
CCDC149	221	inex
CCDC15	616	inex
CCDC150	144	inex
CCDC153	40	inex
CCDC157	38	inex
CCDC158	132	inex
CCDC159	307	inex
CCDC167	909	inex
CCDC17	6	inex
CCDC170	25	inex
CCDC171	945	inex
CCDC172	70	inex
CCDC173	351	inex
CCDC174	359	inex
CCDC175	514	inex
CCDC177	165	inex
CCDC178	799	inex
CCDC18	680	inex
CCDC180	81	inex
CCDC181	576	inex
CCDC183	85	inex
CCDC185	210	inex
CCDC186	1354	inex
CCDC187	7	inex
CCDC189	78	inex
CCDC191	354	inex
CCDC197	48	inex
CCDC198	26	inex
CCDC22	340	inex
CCDC24	767	inex
CCDC25	1734	inex
CCDC28A	2240	inex
CCDC28B	166	inex
CCDC3	24	inex
CCDC30	31	inex
CCDC32	1032	inex
CCDC33	23	inex
CCDC34	2244	inex
CCDC38	396	inex
CCDC39	134	inex
CCDC40	189	inex
CCDC42	23	inex
CCDC43	501	inex
CCDC47	1538	inex
CCDC50	234	inex
CCDC51	81	inex
CCDC57	378	inex
CCDC59	368	inex
CCDC6	996	inex
CCDC60	163	inex
CCDC61	35	inex
CCDC62	2	inex
CCDC63	100	inex
CCDC65	206	inex
CCDC66	666	inex
CCDC68	184	inex
CCDC69	7	inex
CCDC7	925	inex
CCDC71	107	inex
CCDC73	408	inex
CCDC74B	247	inex
CCDC77	32	inex
CCDC78	56	inex
CCDC80	81	inex
CCDC81	145	inex
CCDC83	611	inex
CCDC85A	322	inex
CCDC85B	344	inex
CCDC85C	943	inex
CCDC86	228	inex
CCDC87	1	inex
CCDC88A	3367	inex
CCDC88B	15	inex
CCDC88C	645	inex
CCDC89	6	inex
CCDC9	206	inex
CCDC90B	146	inex
CCDC91	924	inex
CCDC92	2834	inex
CCDC92B	822	inex
CCDC93	940	inex
CCDC96	162	inex
CCDC97	101	inex
CCDC9B	1192	inex
CCHCR1	196	inex
CCIN	28	inex
CCK	20	inex
CCKAR	23	inex
CCKBR	28	inex
CCL28	49	inex
CCM2	201	inex
CCM2L	28	inex
CCN1	412	inex
CCN2	315	inex
CCN3	5	inex
CCN4	322	inex
CCN5	31	inex
CCN6	93	inex
CCNA2	21	inex
CCNB1	57	inex
CCNC	598	inex
CCND1	1250	inex
CCND3	364	inex
CCNDBP1	163	inex
CCNE1	270	inex
CCNE2	137	inex
CCNF	33	inex
CCNG1	51	inex
CCNG2	399	inex
CCNH	290	inex
CCNI	7969	inex
CCNI2	742	inex
CCNJ	37	inex
CCNJL	81	inex
CCNK	2789	inex
CCNL1	1023	inex
CCNO	64	inex
CCNQ	131	inex
CCNT1	643	inex
CCNT2	737	inex
CCNY	1259	inex
CCNYL1	764	inex
CCP110	252	inex
CCPG1	861	inex
CCR4	38	inex
CCR7	5	inex
CCS	159	inex
CCSER2	1520	inex
CCT2	2568	inex
CCT3	1461	inex
CCT4	2908	inex
CCT5	3167	inex
CCT6A	2480	inex
CCT7	894	inex
CCT8	3207	inex
CCZ1	1408	inex
CD101	336	inex
CD109	761	inex
CD14	63	inex
CD151	3668	inex
CD164	523	inex
CD164L2	142	inex
CD180	31	inex
CD19	5	inex
CD2	39	inex
CD200R1	97	inex
CD226	190	inex
CD24	6245	inex
CD247	119	inex
CD276	46	inex
CD28	1	inex
CD2BP2	306	inex
CD300LF	13	inex
CD302	237	inex
CD320	122	inex
CD37	275	inex
CD3E	3	inex
CD40	12	inex
CD40LG	39	inex
CD44	628	inex
CD47	6969	inex
CD5	32	inex
CD6	6	inex
CD63	726	inex
CD68	196	inex
CD72	28	inex
CD74	4681	inex
CD79A	8	inex
CD79B	139	inex
CD81	12670	inex
CD82	3259	inex
CD83	189	inex
CD8A	23	inex
CD9	243	inex
CD93	55	inex
CD96	27	inex
CD99L2	4541	inex
CDA	128	inex
CDAN1	293	inex
CDC123	788	inex
CDC14A	318	inex
CDC14B	2407	inex
CDC16	288	inex
CDC20	396	inex
CDC23	559	inex
CDC25A	126	inex
CDC25B	105	inex
CDC25C	116	inex
CDC26	551	inex
CDC27	1248	inex
CDC34	186	inex
CDC37	3867	inex
CDC37L1	1019	inex
CDC40	617	inex
CDC42	5222	inex
CDC42BPA	5670	inex
CDC42BPB	730	inex
CDC42BPG	86	inex
CDC42EP1	80	inex
CDC42EP2	49	inex
CDC42EP3	206	inex
CDC42EP4	524	inex
CDC42EP5	196	inex
CDC42SE1	38	inex
CDC42SE2	2482	inex
CDC45	9	inex
CDC5L	1962	inex
CDC6	89	inex
CDC7	262	inex
CDC73	1317	inex
CDCA2	29	inex
CDCA3	12	inex
CDCA4	460	inex
CDCA5	57	inex
CDCA7	1	inex
CDCA7L	50	inex
CDCA8	5	inex
CDCP1	164	inex
CDCP2	46	inex
CDH10	2039	inex
CDH11	1565	inex
CDH12	3219	inex
CDH13	1427	inex
CDH15	28	inex
CDH17	33	inex
CDH18	2133	inex
CDH2	3148	inex
CDH20	1954	inex
CDH22	54	inex
CDH23	1319	inex
CDH24	249	inex
CDH26	161	inex
CDH4	2133	inex
CDH5	34	inex
CDH6	11163	inex
CDH7	2584	inex
CDH8	1147	inex
CDH9	1947	inex
CDHR1	53	inex
CDHR2	708	inex
CDHR3	59	inex
CDHR4	55	inex
CDHR5	3	inex
CDIN1	1618	inex
CDIP1	23	inex
CDIPT	3018	inex
CDK1	11	inex
CDK10	137	inex
CDK11A	229	inex
CDK12	1257	inex
CDK13	1473	inex
CDK15	318	inex
CDK16	2442	inex
CDK17	3015	inex
CDK18	368	inex
CDK19	575	inex
CDK2	46	inex
CDK20	361	inex
CDK2AP1	571	inex
CDK2AP2	360	inex
CDK3	25	inex
CDK4	219	inex
CDK5	205	inex
CDK5R1	972	inex
CDK5R2	2194	inex
CDK5RAP1	87	inex
CDK5RAP2	419	inex
CDK5RAP3	408	inex
CDK6	48	inex
CDK7	732	inex
CDK8	1177	inex
CDK9	427	inex
CDKAL1	3503	inex
CDKL1	649	inex
CDKL2	2841	inex
CDKL3	571	inex
CDKL5	5164	inex
CDKN1A	1503	inex
CDKN1B	862	inex
CDKN1C	927	inex
CDKN2AIPNL	912	inex
CDKN2D	525	inex
CDKN3	188	inex
CDNF	99	inex
CDO1	663	inex
CDON	707	inex
CDPF1	80	inex
CDR2	292	inex
CDR2L	1119	inex
CDS1	3717	inex
CDS2	945	inex
CDT1	23	inex
CDV3	1927	inex
CDX1	2	inex
CDYL	489	inex
CDYL2	455	inex
CEBPA	5	inex
CEBPB	128	inex
CEBPD	35	inex
CEBPE	7	inex
CEBPG	495	inex
CEBPZ	700	inex
CEBPZOS	396	inex
CEL	53	inex
CELF1	566	inex
CELF2	2228	inex
CELF3	521	inex
CELF4	1472	inex
CELF5	281	inex
CELF6	2603	inex
CELSR1	268	inex
CELSR2	1225	inex
CELSR3	1028	inex
CEMIP2	825	inex
CENATAC	180	inex
CEND1	15897	inex
CENPE	1353	inex
CENPF	34	inex
CENPH	108	inex
CENPI	90	inex
CENPJ	9	inex
CENPK	2	inex
CENPL	62	inex
CENPM	57	inex
CENPN	46	inex
CENPO	305	inex
CENPS	193	inex
CENPT	46	inex
CENPU	105	inex
CENPV	229	inex
CENPW	96	inex
CENPX	32	inex
CEP104	78	inex
CEP112	2001	inex
CEP120	495	inex
CEP126	212	inex
CEP128	766	inex
CEP131	794	inex
CEP135	219	inex
CEP152	643	inex
CEP162	462	inex
CEP164	427	inex
CEP170	2576	inex
CEP170B	2236	inex
CEP19	436	inex
CEP192	582	inex
CEP20	444	inex
CEP250	640	inex
CEP290	1035	inex
CEP295	881	inex
CEP350	2064	inex
CEP41	71	inex
CEP43	903	inex
CEP44	1597	inex
CEP55	120	inex
CEP57	697	inex
CEP57L1	9	inex
CEP63	140	inex
CEP68	1133	inex
CEP70	297	inex
CEP76	240	inex
CEP78	373	inex
CEP83	322	inex
CEP85L	1458	inex
CEP89	265	inex
CEP95	684	inex
CEP97	633	inex
CEPT1	930	inex
CERCAM	531	inex
CERK	2788	inex
CERKL	88	inex
CERS1	1271	inex
CERS2	164	inex
CERS3	72	inex
CERS5	946	inex
CERS6	674	inex
CERT1	1771	inex
CETN2	2388	inex
CETN3	169	inex
CFAP100	396	inex
CFAP126	7	inex
CFAP157	39	inex
CFAP20	993	inex
CFAP206	8	inex
CFAP20DC	733	inex
CFAP221	9	inex
CFAP251	7	inex
CFAP299	112	inex
CFAP300	100	inex
CFAP36	3625	inex
CFAP410	432	inex
CFAP43	484	inex
CFAP44	141	inex
CFAP45	30	inex
CFAP46	155	inex
CFAP47	440	inex
CFAP52	74	inex
CFAP53	153	inex
CFAP54	1078	inex
CFAP57	183	inex
CFAP58	75	inex
CFAP61	451	inex
CFAP69	303	inex
CFAP70	66	inex
CFAP73	38	inex
CFAP74	13	inex
CFAP77	52	inex
CFAP91	275	inex
CFAP92	428	inex
CFAP94	16	inex
CFAP97	1237	inex
CFAP97D1	874	inex
CFAP97D2	37	inex
CFAP99	155	inex
CFDP1	4288	inex
CFI	15	inex
CFL1	5240	inex
CFL2	9393	inex
CFLAR	207	inex
CFTR	223	inex
CGA	71	inex
CGGBP1	57	inex
CGN	179	inex
CGNL1	173	inex
CGREF1	328	inex
CGRRF1	294	inex
CH25H	115	inex
CHAC1	1	inex
CHAC2	143	inex
CHAD	2	inex
CHAF1A	202	inex
CHAF1B	28	inex
CHAMP1	636	inex
CHAT	8101	inex
CHCHD1	2164	inex
CHCHD10	6229	inex
CHCHD2	6799	inex
CHCHD3	1401	inex
CHCHD4	481	inex
CHCHD5	401	inex
CHCHD6	1594	inex
CHCHD7	1218	inex
CHD1	1444	inex
CHD1L	1589	inex
CHD2	1892	inex
CHD3	916	inex
