GeneID	nReads	ftype
AGAP1	217	exon
AGAP2	369	exon
AGAP3	320	exon
AGBL1	3	exon
AGBL2	95	exon
AGBL3	141	exon
AGBL4	209	exon
AGBL5	169	exon
AGFG1	358	exon
AGFG2	608	exon
AGGF1	523	exon
AGK	227	exon
AGL	2052	exon
AGMAT	19	exon
AGMO	5	exon
AGO2	231	exon
AGPAT1	32	exon
AGPAT2	81	exon
AGPAT3	1923	exon
AGPAT4	241	exon
AGPAT5	699	exon
AGPS	1030	exon
AGR2	38	exon
AGRN	2654	exon
AGT	8	exon
AGTPBP1	1541	exon
AGTR2	31	exon
AGXT	339	exon
AGXT2	115	exon
AHCTF1	1286	exon
AHCY	608	exon
AHCYL1	4157	exon
AHCYL2	721	exon
AHDC1	486	exon
AHI1	347	exon
AHNAK	1209	exon
AHNAK2	61980	exon
AHR	420	exon
AHSA1	925	exon
AIDA	937	exon
AIF1	79	exon
AIF1L	67	exon
AIFM1	596	exon
AIFM2	100	exon
AIFM3	59	exon
AIG1	1281	exon
AIMP1	2641	exon
AIMP2	1026	exon
AJAP1	151	exon
AJM1	93	exon
AK1	2441	exon
AK2	1767	exon
AK3	159	exon
AK4	249	exon
AK5	1585	exon
AK6	366	exon
AK7	98	exon
AK8	88	exon
AK9	394	exon
AKAIN1	482	exon
AKAP1	556	exon
AKAP10	302	exon
AKAP11	2771	exon
AKAP12	10535	exon
AKAP13	573	exon
AKAP17A	617	exon
AKAP3	37	exon
AKAP5	1086	exon
AKAP6	4767	exon
AKAP7	612	exon
AKAP8	967	exon
AKAP8L	951	exon
AKAP9	2579	exon
AKIRIN2	1075	exon
AKNA	142	exon
AKNAD1	489	exon
AKR1A1	488	exon
AKR1D1	3	exon
AKR7A2	243	exon
AKT1	1919	exon
AKT1S1	137	exon
AKT2	75	exon
AKT3	3747	exon
ALAD	70	exon
ALAS1	376	exon
ALAS2	18	exon
ALCAM	1200	exon
ALDH16A1	334	exon
ALDH18A1	192	exon
ALDH1A2	4	exon
ALDH1L2	372	exon
ALDH2	673	exon
ALDH3A2	48	exon
ALDH4A1	57	exon
ALDH5A1	186	exon
ALDH6A1	213	exon
ALDH7A1	1026	exon
ALDH8A1	96	exon
ALDH9A1	421	exon
ALDOA	8638	exon
ALDOB	1	exon
ALDOC	2728	exon
ALG1	113	exon
ALG11	295	exon
ALG12	7	exon
ALG14	140	exon
ALG2	471	exon
ALG3	145	exon
ALG5	187	exon
ALG6	44	exon
ALG8	266	exon
ALG9	455	exon
ALK	108	exon
ALKAL2	357	exon
ALKBH1	155	exon
ALKBH2	256	exon
ALKBH3	2922	exon
ALKBH4	121	exon
ALKBH5	131	exon
ALKBH6	408	exon
ALKBH7	77	exon
ALKBH8	104	exon
ALMS1	52	exon
ALOX5	51	exon
ALPK1	87	exon
ALPK3	5	exon
ALPL	52	exon
ALS2	474	exon
ALYREF	1172	exon
AMACR	216	exon
AMBN	4	exon
AMBRA1	62	exon
AMD1	1807	exon
AMDHD1	1	exon
AMDHD2	148	exon
AMELX	29	exon
AMER1	16	exon
AMER2	195	exon
AMER3	1046	exon
AMFR	1569	exon
AMH	23	exon
AMHR2	4	exon
AMIGO1	2901	exon
AMIGO2	93	exon
AMIGO3	467	exon
AMMECR1L	567	exon
AMN1	529	exon
AMOT	298	exon
AMOTL1	476	exon
AMOTL2	55	exon
AMPD2	1527	exon
AMPD3	1972	exon
AMPH	4884	exon
AMT	376	exon
AMTN	1	exon
AMZ1	41	exon
AMZ2	137	exon
ANAPC1	260	exon
ANAPC10	144	exon
ANAPC11	1704	exon
ANAPC13	328	exon
ANAPC15	181	exon
ANAPC16	660	exon
ANAPC2	364	exon
ANAPC4	262	exon
ANAPC5	186	exon
ANAPC7	234	exon
ANGEL1	59	exon
ANGEL2	255	exon
ANGPT2	226	exon
ANGPTL1	585	exon
ANGPTL2	53	exon
ANGPTL3	1	exon
ANGPTL5	70	exon
ANK1	851	exon
ANK2	20212	exon
ANK3	3904	exon
ANKAR	70	exon
ANKDD1A	210	exon
ANKDD1B	15	exon
ANKEF1	172	exon
ANKFN1	36	exon
ANKFY1	120	exon
ANKH	968	exon
ANKIB1	730	exon
ANKLE1	10	exon
ANKLE2	920	exon
ANKMY1	17	exon
ANKMY2	354	exon
ANKRA2	369	exon
ANKRD1	71	exon
ANKRD10	432	exon
ANKRD11	3322	exon
ANKRD12	3166	exon
ANKRD13A	144	exon
ANKRD13B	10	exon
ANKRD13C	1013	exon
ANKRD13D	747	exon
ANKRD16	119	exon
ANKRD17	1861	exon
ANKRD2	26	exon
ANKRD23	13	exon
ANKRD24	21	exon
ANKRD26	1264	exon
ANKRD27	459	exon
ANKRD28	262	exon
ANKRD29	1610	exon
ANKRD33B	4	exon
ANKRD34A	25	exon
ANKRD34B	134	exon
ANKRD35	18	exon
ANKRD37	365	exon
ANKRD39	40	exon
ANKRD40	108	exon
ANKRD42	22	exon
ANKRD44	1081	exon
ANKRD45	454	exon
ANKRD46	801	exon
ANKRD49	341	exon
ANKRD50	569	exon
ANKRD52	3964	exon
ANKRD53	179	exon
ANKRD54	256	exon
ANKRD55	122	exon
ANKRD6	291	exon
ANKRD60	14	exon
ANKRD61	8	exon
ANKRD65	23	exon
ANKRD66	69	exon
ANKRD9	54	exon
ANKS1A	1517	exon
ANKS1B	1080	exon
ANKS3	3	exon
ANKS4B	43	exon
ANKS6	155	exon
ANKUB1	241	exon
ANKZF1	140	exon
ANLN	67159	exon
ANO1	315	exon
ANO10	2473	exon
ANO3	1479	exon
ANO4	877	exon
ANO5	851	exon
ANO7	41	exon
ANO8	1062	exon
ANOS1	937	exon
ANP32A	1175	exon
ANP32B	1005	exon
ANP32E	1328	exon
ANTKMT	25	exon
ANTXR1	108	exon
ANTXR2	64	exon
ANXA1	230	exon
ANXA11	110	exon
ANXA2	12242	exon
ANXA3	9	exon
ANXA4	541	exon
ANXA5	388	exon
ANXA6	5744	exon
ANXA7	1133	exon
ANXA9	8	exon
AOAH	294	exon
AOX1	39	exon
AP1AR	690	exon
AP1B1	2275	exon
AP1G1	668	exon
AP1G2	23	exon
AP1M1	1339	exon
AP1M2	94	exon
AP1S1	1415	exon
AP1S2	6664	exon
AP1S3	1	exon
AP2A1	2089	exon
AP2A2	4452	exon
AP2B1	1135	exon
AP2M1	3605	exon
AP2S1	1081	exon
AP3B1	193	exon
AP3B2	3255	exon
AP3D1	2257	exon
AP3M1	367	exon
AP3M2	1203	exon
AP3S1	2475	exon
AP4B1	236	exon
AP4E1	250	exon
AP4M1	144	exon
AP4S1	261	exon
AP5B1	96	exon
AP5M1	442	exon
AP5S1	29	exon
AP5Z1	45	exon
APAF1	375	exon
APBA1	4162	exon
APBA2	2116	exon
APBA3	132	exon
APBB1	363	exon
APBB2	368	exon
APBB3	91	exon
APC	8118	exon
APC2	607	exon
APCDD1	251	exon
APCDD1L	466	exon
APEH	274	exon
APELA	280	exon
APEX1	533	exon
APEX2	50	exon
APH1A	120	exon
API5	1082	exon
APLF	46	exon
APLNR	13	exon
APLP1	9971	exon
APLP2	5223	exon
APOA1	13	exon
APOA4	21	exon
APOBEC1	2	exon
APOE	2054	exon
APOLD1	22	exon
APOO	2012	exon
APOOL	469	exon
APPBP2	2606	exon
APPL1	1296	exon
APPL2	222	exon
APRT	635	exon
APTX	681	exon
AQP1	804	exon
AQP10	76	exon
AQP11	576	exon
AQP4	275	exon
AQP8	2	exon
AQP9	16	exon
AQR	693	exon
AR	38	exon
ARAF	437	exon
ARAP2	91	exon
ARAP3	56	exon
ARC	300	exon
ARCN1	893	exon
AREL1	134	exon
ARF1	2222	exon
ARF3	3278	exon
ARF4	1511	exon
ARF6	823	exon
ARFGAP1	811	exon
ARFGAP2	884	exon
ARFGAP3	155	exon
ARFGEF1	2457	exon
ARFGEF2	1941	exon
ARFGEF3	2203	exon
ARFIP1	140	exon
ARFIP2	462	exon
ARFRP1	199	exon
ARG2	465	exon
ARGLU1	2364	exon
ARHGAP1	1384	exon
ARHGAP10	210	exon
ARHGAP11A	103	exon
ARHGAP12	762	exon
ARHGAP15	98	exon
ARHGAP17	101	exon
ARHGAP18	899	exon
ARHGAP19	11	exon
ARHGAP20	1056	exon
ARHGAP21	2267	exon
ARHGAP23	1731	exon
ARHGAP24	125	exon
ARHGAP25	21	exon
ARHGAP26	401	exon
ARHGAP27	12	exon
ARHGAP28	41	exon
ARHGAP29	665	exon
ARHGAP31	155	exon
ARHGAP32	920	exon
ARHGAP33	55	exon
ARHGAP35	1337	exon
ARHGAP39	487	exon
ARHGAP4	744	exon
ARHGAP40	38	exon
ARHGAP42	120	exon
ARHGAP44	1217	exon
ARHGAP45	36	exon
ARHGAP5	3499	exon
ARHGAP6	388	exon
ARHGAP8	53	exon
ARHGAP9	5	exon
ARHGDIA	1379	exon
ARHGDIB	1605	exon
ARHGEF1	85	exon
ARHGEF10	1242	exon
ARHGEF10L	94	exon
ARHGEF11	711	exon
ARHGEF12	1113	exon
ARHGEF15	8	exon
ARHGEF16	11	exon
ARHGEF17	14	exon
ARHGEF18	99	exon
ARHGEF2	273	exon
ARHGEF25	157	exon
ARHGEF26	160	exon
ARHGEF28	104	exon
ARHGEF3	589	exon
ARHGEF33	66	exon
ARHGEF37	570	exon
ARHGEF39	1	exon
ARHGEF4	1305	exon
ARHGEF40	1220	exon
ARHGEF6	428	exon
ARHGEF7	795	exon
ARHGEF9	560	exon
ARID1A	579	exon
ARID1B	550	exon
ARID2	672	exon
ARID3A	317	exon
ARID3B	4	exon
ARID4A	1085	exon
ARID4B	1398	exon
ARID5A	457	exon
ARID5B	231	exon
ARIH1	303	exon
ARIH2	92	exon
ARL1	1775	exon
ARL10	430	exon
ARL13B	281	exon
ARL14	2	exon
ARL14EPL	4	exon
ARL15	720	exon
ARL16	68	exon
ARL2	474	exon
ARL3	1210	exon
ARL4A	662	exon
ARL4C	1108	exon
ARL4D	161	exon
ARL5A	1291	exon
ARL5B	189	exon
ARL5C	68	exon
ARL6	287	exon
ARL6IP1	4596	exon
ARL6IP4	2188	exon
ARL6IP5	6761	exon
ARL6IP6	25	exon
ARL8A	2089	exon
ARL8B	2051	exon
ARL9	169	exon
ARMC1	722	exon
ARMC10	19	exon
ARMC2	245	exon
ARMC3	82	exon
ARMC5	22	exon
ARMC6	688	exon
ARMC7	28	exon
ARMC8	571	exon
ARMC9	9	exon
ARMH1	120	exon
ARMH2	35	exon
ARMH3	427	exon
ARMH4	1160	exon
ARMT1	24	exon
ARNT	81	exon
ARNT2	203	exon
ARNTL	188	exon
ARNTL2	232	exon
ARPC1A	1863	exon
ARPC1B	160	exon
ARPC2	1830	exon
ARPC3	2024	exon
ARPC4	255	exon
ARPC5	1497	exon
ARPC5L	562	exon
ARPP19	1284	exon
ARPP21	798	exon
ARRB1	183	exon
ARRB2	547	exon
ARRDC1	92	exon
ARRDC2	109	exon
ARRDC3	911	exon
ARRDC4	64	exon
ARSA	17	exon
ARSB	183	exon
ARSG	518	exon
ARSI	21	exon
ARSJ	177	exon
ARSK	121	exon
ARTN	86	exon
ARV1	85	exon
ARVCF	193	exon
ASAH1	854	exon
ASAP1	4495	exon
ASAP2	953	exon
ASAP3	55	exon
ASB13	464	exon
ASB14	55	exon
ASB2	4	exon
ASB3	490	exon
ASB5	1107	exon
ASB6	154	exon
ASB7	110	exon
ASB8	61	exon
ASB9	31	exon
ASCC1	269	exon
ASCC2	189	exon
ASCC3	456	exon
ASCL1	110	exon
ASCL2	1	exon
ASDURF	38	exon
ASF1A	167	exon
ASF1B	15	exon
ASGR1	1	exon
ASH1L	565	exon
ASH2L	328	exon
ASIC1	292	exon
ASIC4	591	exon
ASIC5	208	exon
ASL	356	exon
ASMTL	373	exon
ASNS	148	exon
ASNSD1	8	exon
ASPA	33	exon
ASPDH	5	exon
ASPH	441	exon
ASPHD1	332	exon
ASPHD2	25	exon
ASPM	147	exon
ASPSCR1	814	exon
ASRGL1	16	exon
ASS1	285	exon
